,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1A,Encourage or Discourage Careers for Hypothetical Son — Engineer,Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If,Engineer,66,64,69,64
1,1,1A,Encourage or Discourage Careers for Hypothetical Son — Engineer,Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If,Doctor,27,29,25,30
2,1,1A,Encourage or Discourage Careers for Hypothetical Son — Engineer,Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If,Scientist,1,2,1,0
3,1,1A,Encourage or Discourage Careers for Hypothetical Son — Engineer,Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If,Computer programmer,0,0,0,0
4,1,1A,Encourage or Discourage Careers for Hypothetical Son — Engineer,Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If,Nurse,6,5,6,6
5,1,1A,Encourage or Discourage Careers for Hypothetical Son — Engineer,Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If,Physics professor,100,100,101,100
6,2,1B,Encourage or Discourage Careers for Hypothetical Son — Doctor,Imagineyouaretheparentofateenagedaughterwhoisstartingtoconsiderwhatshewantstobeinthefuture.,Doctor,60,63,60,57
7,2,1B,Encourage or Discourage Careers for Hypothetical Son — Doctor,Imagineyouaretheparentofateenagedaughterwhoisstartingtoconsiderwhatshewantstobeinthefuture.,Engineer,31,29,29,34
8,2,1B,Encourage or Discourage Careers for Hypothetical Son — Doctor,Imagineyouaretheparentofateenagedaughterwhoisstartingtoconsiderwhatshewantstobeinthefuture.,Nurse,2,1,2,4
9,2,1B,Encourage or Discourage Careers for Hypothetical Son — Doctor,Imagineyouaretheparentofateenagedaughterwhoisstartingtoconsiderwhatshewantstobeinthefuture.,Scientist,1,2,1,0
10,2,1B,Encourage or Discourage Careers for Hypothetical Son — Doctor,Imagineyouaretheparentofateenagedaughterwhoisstartingtoconsiderwhatshewantstobeinthefuture.,Computer programmer,6,5,8,5
11,2,1B,Encourage or Discourage Careers for Hypothetical Son — Doctor,Imagineyouaretheparentofateenagedaughterwhoisstartingtoconsiderwhatshewantstobeinthefuture.,Lawyer,100,100,100,100
12,3,1C,Encourage or Discourage Careers for Hypothetical Son — Scientist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,58,64,61,48
13,3,1C,Encourage or Discourage Careers for Hypothetical Son — Scientist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,31,28,29,38
14,3,1C,Encourage or Discourage Careers for Hypothetical Son — Scientist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,2,1,2,4
15,3,1C,Encourage or Discourage Careers for Hypothetical Son — Scientist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,1,1,1,1
16,3,1C,Encourage or Discourage Careers for Hypothetical Son — Scientist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,7,6,6,9
17,3,1C,Encourage or Discourage Careers for Hypothetical Son — Scientist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,99,100,99,100
18,4,1D,Encourage or Discourage Careers for Hypothetical Son — Computer programmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,56,60,59,50
19,4,1D,Encourage or Discourage Careers for Hypothetical Son — Computer programmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,35,32,32,39
20,4,1D,Encourage or Discourage Careers for Hypothetical Son — Computer programmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,3,3,2,4
21,4,1D,Encourage or Discourage Careers for Hypothetical Son — Computer programmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,1,0,1,0
22,4,1D,Encourage or Discourage Careers for Hypothetical Son — Computer programmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,6,4,6,7
