,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Understanding of Legal System,How well do you feel that you understand the legal system?,Very well,15,13,16,16
1,1,1,Understanding of Legal System,How well do you feel that you understand the legal system?,Somewhat well,55,60,55,49
2,1,1,Understanding of Legal System,How well do you feel that you understand the legal system?,Not very well,25,22,22,31
3,1,1,Understanding of Legal System,How well do you feel that you understand the legal system?,Not well at all,5,4,7,4
4,1,1,Understanding of Legal System,How well do you feel that you understand the legal system?,Totals,100,99,100,100
5,2,2,Common for Wrongful Convictions,How common do you think it is for innocent people to be convicted of crimes they didn’t commit?,Very common,18,18,20,17
6,2,2,Common for Wrongful Convictions,How common do you think it is for innocent people to be convicted of crimes they didn’t commit?,Somewhat common,44,53,40,39
7,2,2,Common for Wrongful Convictions,How common do you think it is for innocent people to be convicted of crimes they didn’t commit?,Not very common,29,22,28,37
8,2,2,Common for Wrongful Convictions,How common do you think it is for innocent people to be convicted of crimes they didn’t commit?,Not common at all,3,2,3,4
9,2,2,Common for Wrongful Convictions,How common do you think it is for innocent people to be convicted of crimes they didn’t commit?,Not sure,6,4,9,3
10,2,2,Common for Wrongful Convictions,How common do you think it is for innocent people to be convicted of crimes they didn’t commit?,Totals,100,99,100,100
11,3,3,Common for Wrongful Not Guilty Verdicts,How common do you think it is for guilty people to be acquitted of a crime they did commit?,Very common,17,14,15,22
12,3,3,Common for Wrongful Not Guilty Verdicts,How common do you think it is for guilty people to be acquitted of a crime they did commit?,Somewhat common,45,48,43,43
13,3,3,Common for Wrongful Not Guilty Verdicts,How common do you think it is for guilty people to be acquitted of a crime they did commit?,Not very common,28,28,25,31
14,3,3,Common for Wrongful Not Guilty Verdicts,How common do you think it is for guilty people to be acquitted of a crime they did commit?,Not common at all,3,4,4,1
15,3,3,Common for Wrongful Not Guilty Verdicts,How common do you think it is for guilty people to be acquitted of a crime they did commit?,Not sure,7,6,13,3
16,3,3,Common for Wrongful Not Guilty Verdicts,How common do you think it is for guilty people to be acquitted of a crime they did commit?,Totals,100,100,100,100
17,4,4A,Knowledge of Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,How much have you heard about the following criminal case?,and her friend,66,64,62,71
18,4,4A,Knowledge of Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,How much have you heard about the following criminal case?,cover up a hush money payment,24,28,25,19
19,4,4A,Knowledge of Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,How much have you heard about the following criminal case?,Bill Cosby being charged with sexual assault,10,8,12,10
20,4,4A,Knowledge of Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,How much have you heard about the following criminal case?,Derek Chauvin being charged with the murder of George Floyd,100,100,99,100
21,5,4B,Knowledge of Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged",unlawful possession of a firearm,63,72,55,64
22,5,4B,Knowledge of Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged",Bill Cosby being charged with sexual assault,27,22,31,27
23,5,4B,Knowledge of Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged",sexual assault of multiple women,10,6,14,8
24,5,4B,Knowledge of Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged",his ex-wife and her friend,100,100,100,99
25,6,4C,Knowledge of Criminal Trials — Bill Cosby being charged with sexual assault,How much have you heard about the following criminal case?,A lot,59,62,55,59
26,6,4C,Knowledge of Criminal Trials — Bill Cosby being charged with sexual assault,How much have you heard about the following criminal case?,A little,32,28,32,34
27,6,4C,Knowledge of Criminal Trials — Bill Cosby being charged with sexual assault,How much have you heard about the following criminal case?,Nothing at all,10,9,12,7
28,6,4C,Knowledge of Criminal Trials — Bill Cosby being charged with sexual assault,How much have you heard about the following criminal case?,Totals,101,99,99,100
29,7,4D,Knowledge of Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,How much have you heard about the following criminal case?,A lot,54,58,49,56
30,7,4D,Knowledge of Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,How much have you heard about the following criminal case?,A little,27,27,25,28
31,7,4D,Knowledge of Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,How much have you heard about the following criminal case?,Nothing at all,19,15,25,16
