qnum,orig_label,question,prompt,response,total,dem,ind,rep
1,1,Sexual Assault Rate,"Compared to 20 years ago, do you think the rate of sexual assault in the U.S. has...?",Increased,51,49,44,61
1,1,Sexual Assault Rate,"Compared to 20 years ago, do you think the rate of sexual assault in the U.S. has...?",Stayed the same,20,21,23,17
1,1,Sexual Assault Rate,"Compared to 20 years ago, do you think the rate of sexual assault in the U.S. has...?",Decreased,9,9,9,10
1,1,Sexual Assault Rate,"Compared to 20 years ago, do you think the rate of sexual assault in the U.S. has...?",Not sure,19,21,23,12
1,1,Sexual Assault Rate,"Compared to 20 years ago, do you think the rate of sexual assault in the U.S. has...?",Totals,99,100,99,100
2,2A,Know Victim or Accused — Been sexually assaulted,Do you personally know anyone who has ever...?,Been sexually assaulted,45,47,49,40
2,2A,Know Victim or Accused — Been sexually assaulted,Do you personally know anyone who has ever...?,Been accused of sexual assault,43,42,37,51
2,2A,Know Victim or Accused — Been sexually assaulted,Do you personally know anyone who has ever...?,Not sure,10,10,11,7
2,2A,Know Victim or Accused — Been sexually assaulted,Do you personally know anyone who has ever...?,Prefer not to say,2,1,3,1
2,2A,Know Victim or Accused — Been sexually assaulted,Do you personally know anyone who has ever...?,Totals,100,100,100,99
3,2B,Know Victim or Accused — Been accused of sexual assault,Do you personally know anyone who has ever...?,Reported being sexually assaulted to the police,21,22,21,21
3,2B,Know Victim or Accused — Been accused of sexual assault,Do you personally know anyone who has ever...?,convicted,70,71,68,73
3,2B,Know Victim or Accused — Been accused of sexual assault,Do you personally know anyone who has ever...?,Not sure,7,7,10,5
3,2B,Know Victim or Accused — Been accused of sexual assault,Do you personally know anyone who has ever...?,Prefer not to say,1,0,1,1
3,2B,Know Victim or Accused — Been accused of sexual assault,Do you personally know anyone who has ever...?,Totals,99,100,100,100
4,3A,Know Victim Experiences — Reported being sexually assaulted to the police,Do you personally know anyone who has ever...?,Been charged with sexual assault,17,18,18,16
4,3A,Know Victim Experiences — Reported being sexually assaulted to the police,Do you personally know anyone who has ever...?,Been convicted of sexual assault,69,66,64,78
4,3A,Know Victim Experiences — Reported being sexually assaulted to the police,Do you personally know anyone who has ever...?,Not sure,13,16,17,6
4,3A,Know Victim Experiences — Reported being sexually assaulted to the police,Do you personally know anyone who has ever...?,Prefer not to say,1,1,1,1
4,3A,Know Victim Experiences — Reported being sexually assaulted to the police,Do you personally know anyone who has ever...?,Totals,100,101,100,101
5,3B,Know Victim Experiences — Been sexually assaulted and the perpetrator was convicted,What share of women in the U.S. do you think have ever been sexually assaulted?,0% –,10,11,12,9
5,3B,Know Victim Experiences — Been sexually assaulted and the perpetrator was convicted,What share of women in the U.S. do you think have ever been sexually assaulted?,1,79,79,73,85
5,3B,Know Victim Experiences — Been sexually assaulted and the perpetrator was convicted,What share of women in the U.S. do you think have ever been sexually assaulted?,2,9,9,13,5
5,3B,Know Victim Experiences — Been sexually assaulted and the perpetrator was convicted,What share of women in the U.S. do you think have ever been sexually assaulted?,3,1,1,2,1
