,qnum,orig_label,question,prompt,response,total,dem,ind,rep
0,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Love,10,10,12,8
1,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Like,14,19,11,14
2,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Neither like nor dislike,44,45,47,39
3,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Dislike,19,17,16,24
4,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Hate,6,4,6,8
5,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Don’t know,3,4,4,2
6,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Prefer not to say,3,2,4,4
7,1,1,Feelings on Nudity,How much do you like or dislike being naked?,Totals,99,101,100,99
8,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Very positive,100,102,99,101
9,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Somewhat positive,7,7,8,7
10,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Neither positive nor negative,10,13,10,8
11,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Somewhat negative,46,55,50,34
12,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Very negative,16,14,13,22
13,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Don’t know,11,3,7,21
14,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Prefer not to say,8,8,10,5
15,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Prefer not to say,2,1,2,3
16,2,2,Feelings on Nudists,Do you have a positive or negative opinion of nudists/naturists?,Totals,100,101,100,100
17,3,3A,Legality of Nudity by Situation — At a private nudist site,Do you think it should be legal or illegal for an adult to be completely naked in the following situations?,At a private nudist site,85,89,84,83
18,3,3A,Legality of Nudity by Situation — At a private nudist site,Do you think it should be legal or illegal for an adult to be completely naked in the following situations?,At a public nudist beach,6,5,5,9
19,3,3A,Legality of Nudity by Situation — At a private nudist site,Do you think it should be legal or illegal for an adult to be completely naked in the following situations?,In their own garden,7,6,9,7
20,3,3A,Legality of Nudity by Situation — At a private nudist site,Do you think it should be legal or illegal for an adult to be completely naked in the following situations?,In a sauna,1,1,1,1
21,3,3A,Legality of Nudity by Situation — At a private nudist site,Do you think it should be legal or illegal for an adult to be completely naked in the following situations?,"river, a lake, the sea)",99,101,99,100
22,4,3B,Legality of Nudity by Situation — At a public nudist beach,Do you think it is acceptable or unacceptable for an adult to be completely naked in the following situations?,At a private nudist site,75,79,79,67
23,4,3B,Legality of Nudity by Situation — At a public nudist beach,Do you think it is acceptable or unacceptable for an adult to be completely naked in the following situations?,At a public nudist beach,14,11,8,23
24,4,3B,Legality of Nudity by Situation — At a public nudist beach,Do you think it is acceptable or unacceptable for an adult to be completely naked in the following situations?,In their own garden,9,8,11,9
25,4,3B,Legality of Nudity by Situation — At a public nudist beach,Do you think it is acceptable or unacceptable for an adult to be completely naked in the following situations?,In a sauna,2,2,2,1
26,4,3B,Legality of Nudity by Situation — At a public nudist beach,Do you think it is acceptable or unacceptable for an adult to be completely naked in the following situations?,"a river, a lake, the sea)",100,100,100,100
27,5,3C,Legality of Nudity by Situation — In their own garden,Do you think the following are acceptable or unacceptable?,a public beach,58,60,59,55
